"Mã","Tên ngành","Chỉ tiêu","Tổ hợp xét tuyển","2023 (UTXT)","2023 (TH)","2024 (UTXT)","2024 (TH)","2025 (TH)"
"206","**Khoa học Máy tính**","130","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","86.9","75.63","86.2","83.63","83.74"
"207","**Kỹ thuật Máy tính**","80","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","85.9","61.39","83.9","80.41","78.66"
"209","**Kỹ thuật Cơ khí**","50","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","80.5","58.49","76.1","65.77","74.30"
"210","**Kỹ Thuật Cơ Điện tử**","50","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","84.7","62.28","84.0","78.00","78.44"
"211","**Chuyên ngành Kỹ thuật Robot**","50","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","83.1","62.28","80.7","73.10","73.89"
"214","**Kỹ thuật Hóa học**","150","**Toán, Hóa,** {Sinh, Lý, Anh, Tin, CNCN}<br>**Toán, Sinh, Anh**","82.7","60.93","84.1","64.68","63.30"
"215","**Nhóm ngành QLDA Xây dựng và KT Xây dựng**","120","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","71.7","55.40","73.3","58.59","56.20"
"217","**Chuyên ngành Kiến trúc Cảnh quan**","45","**Toán, Lý,** {Văn, Anh, Tin, Hóa, CNCN}","69.7","59.36","72.3","61.08","55.45"
"218","**Công nghệ Sinh học**","40","**Toán, Sinh,** {Hóa, Lý, Anh, Tin, CNCN}<br>**Toán, Hóa, Anh**","85.4","63.05","85.2","70.91","66.13"
"219","**Công nghệ Thực phẩm**","40","**Toán, Hóa,** {Sinh, Lý, Anh, Tin, CNCN}<br>**Toán, Sinh, Anh**","84.1","61.12","83.3","60.11","59.21"
"220","**Kỹ thuật Dầu khí**","30","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}<br>**Toán, Hóa,** {Lý, Anh, Tin, CNCN}","75.1","58.02","73.0","57.88","60.25"
"223","**Quản lý Công nghiệp**","90","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}<br>**Toán, Anh,** {Văn, Hóa, Tin, CNCN}","79.7","61.41","80.1","65.03","61.08"
"225","**Nhóm ngành Tài nguyên và Môi trường**","30","**Toán, Lý,** {Hóa, Anh, CNCN}<br>**Toán, Hóa,** {Sinh, Anh, CNCN}","77.6","54.00","71.5","61.59","55.46"
"228","**Logistics và Quản lý Chuỗi Cung ứng**","60","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","85.0","60.78","83.3","74.47","73.05"
"229","**Kỹ thuật Vật liệu**","40","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}<br>**Toán, Hóa,** {Sinh, Anh, Tin, CNCN}","77.4","55.36","74.0","57.96","55.23"
"237","**Chuyên ngành Kỹ thuật Y sinh**","30","**Toán, Lý,** {Sinh, Hóa, Anh, Tin, CNCN}","79.6","60.81","81.4","57.23","64.74"
"242","**Kỹ thuật Ô tô**","40","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","78.6","60.70","72.6","65.87","69.49"
"245","**Kỹ thuật Hàng không**","40","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","83.7","59.94","81.4","73.50","78.79"
"251","**Khoa học Dữ liệu** _(Ngành mới)_","40","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","-","-","-","-","-"
"252","**Kỹ thuật Đường sắt** _(Ngành mới)_","40","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","-","-","-","-","-"
"253","**Chuyên ngành Kinh doanh số**","40","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}<br>**Toán, Anh,** {Văn, Hóa, Tin, CNCN}","-","-","-","-","59.06"
"254","**Chuyên ngành Công nghệ Sinh học số**","40","**Toán, Sinh,** {Hóa, Lý, Anh, Tin, CNCN}<br>**Toán, Hóa, Anh**","-","-","-","-","56.42"
"255","**Chuyên ngành Kinh tế Tuần hoàn**","30","**Toán, Lý,** {Hóa, Anh, CNCN}<br>**Toán, Hóa,** {Sinh, Anh, CNCN}","-","-","-","-","64.38"
"256","**Kỹ thuật Hạt nhân** _(Ngành mới)_","30","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","-","-","-","-","-"
"257","**Chuyên ngành Năng lượng Tái tạo**","40","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","-","-","-","-","58.07"
"258","**Thiết kế Vi mạch**","40","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","-","-","-","-","83.09"
"259","**Kỹ thuật Bán dẫn** _(Ngành mới)_","40","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}<br>**Toán, Hóa,** {Anh, Tin, CNCN}","-","-","-","-","-"
